issue,subject,company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Escalated,team_enterprise,"I understand you've lost access to your Claude team workspace after your IT admin removed your seat. Access restoration for team workspaces requires administrative privileges that only workspace owners or admins can manage. Since you mentioned you are not the workspace owner or admin, this request needs to be handled by someone with the appropriate permissions or escalated to our support team who can work with your organization's administrators to resolve this access issue.",This is an account access restoration request that bypasses normal self-service channels and requires admin-level permissions the user doesn't have.,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalated,screen,"I understand you'd like to dispute your test score and have it reviewed. Score disputes and grading complaints on assessments require human review and cannot be handled through automated support. A human agent will need to examine your specific case, including your test responses and scoring details. Please expect to be contacted by our support team who can properly investigate your assessment results and work with you on next steps.","This is a score dispute requiring human review of assessment results and grading, which falls under escalation criteria for issues requiring account-level access and assessment evaluation.",product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Escalated,consumer,I understand you're having an issue with a merchant who sent the wrong product and isn't responding to your emails. This type of dispute with a merchant requires specialized handling that goes beyond what I can assist with directly. A human agent will need to review your specific situation and guide you through the proper dispute resolution process. They'll be able to explain your options and the appropriate steps to take regarding your transaction.,This involves a payment dispute and refund demand requiring account-level access and specialized dispute resolution procedures not covered in the available documentation.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Escalated,subscriptions_payments_billing,"I understand you're experiencing issues with your mock interviews stopping mid-session and you're requesting a refund. Technical issues that interrupt paid services and refund requests require review by our support team who can access your account details and transaction history. According to our refund policy, if you're not satisfied with your mock interview experience, you should contact help@hackerrank.com where the support team will promptly review your request. They'll be able to investigate the technical issue and process any appropriate refund.","This involves both a technical bug (mock interviews stopping) and a refund request, both of which require human agent review and account-level access according to the documentation.",bug
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Escalated,subscriptions_payments_billing,I understand you're having a payment issue with order ID cs_live_abcdefgh. Payment disputes and billing issues require account-level access to review transaction details and resolve the matter properly. I'm escalating your request to our billing support team who can access your account and investigate the specific payment issue. They'll be able to review your order details and help resolve this matter for you.,"Payment disputes and billing issues require account-level access to review transaction details, which falls under escalation criteria for human agent handling.",product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Escalated,general_help,Thank you for your interest in using HackerRank for hiring! I understand you need assistance with your company's InfoSec process and form completion. This type of security compliance and questionnaire request requires specialized attention from our team who can properly handle InfoSec documentation and processes. I'm escalating your request to a human agent who will be able to assist you with the InfoSec forms and compliance requirements for your company's onboarding process.,InfoSec/compliance questionnaire requests require human agent handling as they involve sensitive security documentation and specialized processes not covered in general support documentation.,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,Replied,general_help,"Based on the documentation, the Apply tab has been deprecated as part of HackerRank's platform update. The job listings feature that was previously available in the Apply tab has been removed. However, you can still access practice features that were in the Home tab:

- **Coding challenges** (Algorithms, Data Structures, React, etc.) are now available in the **Prepare tab**
- **Mock Interviews** are available under the **Prepare tab**
- **Role certification tests** are accessible through the **Certify tab**

For practice and skill development, please check the Prepare tab where you'll find all the coding challenges and practice materials. If you need further assistance, you can contact HackerRank Support at help@hackerrank.com.","The user is asking about the missing Apply tab, which according to the documentation has been deprecated. The documentation clearly explains where practice features have been moved to.",product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Escalated,screen,I understand you're experiencing issues with submissions not working across any challenges on the website. This appears to be a widespread technical issue that requires immediate attention from our technical team. I'm escalating this to a human agent who can investigate the submission system and provide a resolution. You should expect to hear back from our support team shortly with updates on this issue.,This is a system-wide technical issue affecting core functionality (submissions not working across any challenges) which indicates a potential platform-wide problem requiring technical investigation.,bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Escalated,interviews,"I understand you're experiencing a blocker with the compatibility check for your test, specifically with Zoom connectivity. While the documentation shows that HackerRank Interviews use Zoom integration and there are network requirements that need to be met, troubleshooting specific connectivity issues requires technical investigation that goes beyond what I can help with through documentation alone. I'm escalating this to our technical support team who can help diagnose the specific Zoom connectivity problem you're experiencing and provide personalized troubleshooting steps to resolve the blocker so you can take your test.","This is a technical issue preventing the user from taking their test, which requires specific troubleshooting beyond what the general documentation covers. The Zoom connectivity blocker needs technical investigation.",bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Escalated,screen,I understand you need to reschedule your HackerRank assessment due to unforeseen circumstances. Assessment rescheduling requires coordination with the hiring team and involves HR/recruiting process decisions that need human attention. I'm escalating your request to a human agent who can work with the appropriate team to explore rescheduling options for your assessment. They will be able to review your specific situation and coordinate with the hiring company if possible.,"This is an HR/recruiting process decision involving assessment rescheduling that requires human coordination with the hiring team, which falls under escalation criteria.",product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,Escalated,interviews,"Thank you for reaching out about the inactivity timeout settings in HackerRank Interviews. I understand that interviewers are experiencing issues where candidates are being sent back to the lobby after approximately 20 minutes during screen sharing sessions, which is disrupting the interview flow.

This appears to be related to the platform's inactivity detection system and timeout configurations. Based on the documentation I have access to, I can see that when no interviewers are present, candidates move to the lobby and the interview ends automatically after an hour of inactivity. However, the specific inactivity timeout settings you're asking about (including whether they differ for candidates vs interviewers, and the ability to extend these timeouts) require access to system configuration details that aren't covered in the available documentation.

I'm escalating this to our technical team who can provide you with the current inactivity timeout settings and explore options for extending these timeouts to better accommodate screen sharing sessions and collaborative interview scenarios. They'll be able to give you specific timing details and discuss potential configuration changes for your account.","This requires system-level configuration information about inactivity timeouts that isn't documented in the available corpus, and potentially involves account-level settings changes that would need technical team involvement.",product_issue
"it’s not working, help",Help needed,None,Escalated,general_support,"I understand you're experiencing an issue and need help. However, your message doesn't provide enough detail for me to determine what specific problem you're facing or which service you're having trouble with. To provide you with the most effective assistance, I'm connecting you with a human support agent who can work with you to identify the issue and provide appropriate help. Please be prepared to describe what you were trying to do, what happened instead, and any error messages you may have seen.","This is a vague request where the user clearly needs help but there's insufficient context to determine what they need assistance with, requiring human intervention to properly diagnose the issue.",product_issue
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,Escalated,interviews,I understand you're trying to remove an interviewer from the platform and don't see that option in the three dots menu next to their name. This type of user management request requires account-level administrative access that I cannot provide guidance for based on the available documentation. I'm escalating this to a human agent who can assist you with removing the interviewer from your HackerRank for Work account. They'll be able to help you with the proper steps or permissions needed for user management.,"This is a user management request requiring account-level administrative access to remove users from the platform, which is not covered in the provided documentation and requires human intervention.",product_issue
